polygon,ring,vertex,x,y
1,1,111,2725798.592488,1219905.762477
1,1,112,2725798.983,1219905.834
1,1,113,2725807.919,1219906.076
1,1,114,2725810.987,1219906.119
1,1,115,2725814.52,1219905.858
1,1,116,2725819.768,1219905.968
1,1,117,2725825.938,1219907.212
1,1,118,2725838.231,1219911.114
1,1,119,2725847.38,1219915.466
1,1,120,2725850.48638171,1219916.73081075
1,1,121,2725848.02091062,1219916.85833512
1,1,122,2725842.06778562,1219915.00625179
1,1,123,2725834.79174396,1219911.83125179
1,1,124,2725825.92820229,1219911.30208512
1,1,125,2725819.84278562,1219911.03750179
1,1,126,2725812.30216062,1219910.37604345
1,1,127,2725808.73028562,1219909.71458512
1,1,128,2725801.45424396,1219909.45000179
1,1,129,2725801.05736896,1219910.90521012
1,1,130,2725798.94070229,1219915.27083512
1,1,131,2725797.35320229,1219919.23958512
1,1,132,2725795.36882729,1219923.47291845
1,1,133,2725791.00320229,1219924.66354345
1,1,134,2725789.54799396,1219926.64791845
1,1,135,2725789.01882729,1219928.76458512
1,1,136,2725789.01882729,1219936.56979345
1,1,137,2725791.40007729,1219942.12604345
1,1,138,2725795.23653562,1219943.84583512
1,1,139,2725803.04174396,1219941.99375179
1,1,140,2725806.74591062,1219937.23125179
1,1,141,2725812.16986896,1219935.90833512
1,1,142,2725819.18132729,1219934.58541845
1,1,143,2725821.69486896,1219933.79166845
1,1,144,2725825.87167237,1219932.39940065
2,1,1,2725902.508,1219969.401
2,1,2,2725902.45535229,1219969.49916288
2,1,3,2725902.52507729,1219969.47321142
2,1,4,2725902.53725174,1219969.33117611
2,1,5,2725902.508,1219969.401
3,1,1,2725929.277,1219965.769
3,1,2,2725929.12518382,1219965.35961536
3,1,3,2725928.48938393,1219964.77272314
3,1,4,2725929.12518382,1219965.35961535
3,1,5,2725927.873,1219961.983
3,1,6,2725925.758,1219959.198
3,1,7,2725919.127,1219951.841
3,1,8,2725916.408,1219949.463
3,1,9,2725913.101,1219947.907
3,1,10,2725909.558,1219946.247
3,1,11,2725907.066,1219944.709
3,1,12,2725900.674,1219940.596
3,1,13,2725894.664,1219937.917
3,1,14,2725888.852,1219935.096
3,1,15,2725882.54,1219931.943
3,1,16,2725878.209,1219929.611
3,1,17,2725860.799,1219920.991
3,1,18,2725856.507,1219918.922
3,1,19,2725853.39754151,1219917.80850544
3,1,20,2725854.37091062,1219918.84271012
3,1,21,2725858.86882729,1219922.15000179
3,1,22,2725874.87611896,1219931.01354345
3,1,23,2725886.38549396,1219937.09896012
3,1,24,2725898.95320229,1219943.18437679
3,1,25,2725911.78549396,1219951.65104345
3,1,26,2725921.17820229,1219960.77916845
3,1,27,2725921.31074604,1219961.13261845
3,1,28,2725922.27167559,1219961.06855648
3,1,29,2725920.28730059,1219961.20084814
3,1,30,2725909.30709226,1219965.30188981
3,1,31,2725908.52729629,1219965.76976739
3,1,32,2725908.559,1219965.795
3,1,33,2725906.499,1219969.388
3,1,34,2725905.495,1219970.813
3,1,35,2725904.284787,1219972.977294
3,1,36,2725903.361,1219974.819
3,1,37,2725902.963258,1219975.908893
3,1,38,2725902.619474,1219977.016989
3,1,39,2725902.330475,1219978.140619
3,1,40,2725902.096958,1219979.277076
3,1,41,2725901.994,1219979.896
3,1,42,2725901.769703,1219981.302968
3,1,43,2725901.614712,1219982.719246
3,1,44,2725901.529402,1219984.141424
3,1,45,2725901.517,1219984.59
3,1,46,2725901.636461,1219987.192405
3,1,47,2725901.68994763,1219987.79406143
3,1,48,2725903.48625893,1219982.76438981
3,1,49,2725909.04250893,1219976.01751481
3,1,50,2725921.61021726,1219970.06438981
3,1,51,2725924.91750893,1219968.60918148
3,1,52,2725930.14799999,1219968.238
3,1,53,2725930.148,1219968.238
3,1,54,2725930.148,1219968.238
3,1,55,2725929.277,1219965.769
