"Daten ID";"Entnahmedatum";"Entnahmezeit";"Witterung";"Schüttungsmenge";"Wassertemperatur";"Trübung";"Elektr Leitfähigkeit";"pH-Wert";"Sauerstoff";"Sauerstoffsättigung";"Chemische Analysen";"Bakteriologische Analysen";"Bemerkungen Messdaten"
197;23.06.1998 00:00:00;;"trocken";80.30;7.00;;351.00;;;;;;
198;23.06.1998 00:00:00;;"trocken";377.00;6.50;;348.00;;;;;;
199;23.06.1998 00:00:00;;"trocken";163.00;6.80;;362.00;;;;;;
200;19.06.1998 00:00:00;;"trocken";607.00;7.20;;306.00;;;;;;
201;23.06.1998 00:00:00;;"trocken";103.70;8.40;;299.00;;;;;;
202;23.06.1998 00:00:00;;"trocken";9.98;8.90;;496.00;;;;;;
203;23.06.1998 00:00:00;;"trocken";2.80;11.40;;527.00;;;;;;
204;23.06.1998 00:00:00;;"trocken";22.80;9.60;;436.00;;;;;;
205;23.06.1998 00:00:00;;"trocken";52.00;9.80;;404.00;;;;;;
206;23.06.1998 00:00:00;;"trocken";;9.90;;432.00;;;;;;"Schüttung nicht messbar"
207;23.06.1998 00:00:00;;"trocken";5.50;9.20;;435.00;;;;;;
208;23.06.1998 00:00:00;;"trocken";106.00;8.50;;368.00;;;;;;"Schüttung Quelle mitte und oben"
209;23.06.1998 00:00:00;;"trocken";1.60;12.50;;540.00;;;;;;
210;19.06.1998 00:00:00;;"trocken";7.00;8.70;;212.00;;;;;;
211;19.06.1998 00:00:00;;"trocken";15.90;7.10;;421.00;;;;;;"Schüttung Einlauf rechts und links"
212;19.06.1998 00:00:00;;"trocken";3.80;6.90;;355.00;;;;;;
213;19.06.1998 00:00:00;;"trocken";13.00;4.80;;245.00;;;;;;
214;19.06.1998 00:00:00;;"trocken";30.50;5.60;;306.00;;;;;;"im Reservoir gemessen"
215;19.06.1998 00:00:00;;"trocken";9.00;5.80;;380.00;;;;;;
216;19.06.1998 00:00:00;;"trocken";4.60;4.20;;290.00;;;;;;
217;19.06.1998 00:00:00;;"trocken";11.70;5.10;;315.00;;;;;;"Schüttung total Quellen ober Niedern"
218;23.06.1998 00:00:00;;"trocken";0.75;15.90;;503.00;;;;;;
221;23.06.1998 00:00:00;;"trocken";19.00;11.70;;343.00;;;;;;
222;23.06.1998 00:00:00;;"trocken";141.00;8.40;;299.00;;;;;;
223;23.06.1998 00:00:00;;"trocken";81.00;7.50;;324.00;;;;;;
248;23.06.1998 00:00:00;;"trocken";161.00;6.40;;349.00;;;;;;
249;23.06.1998 00:00:00;;"trocken";93.00;6.50;;355.00;;;;;;
250;19.06.1998 00:00:00;;"trocken";343.00;7.20;;356.00;;;;;;
636;23.06.1998 00:00:00;;"trocken";31.00;7.80;;320.00;;;;;;
637;23.06.1998 00:00:00;;"trocken";4.60;8.50;;374.00;;;;;;"Gesamtschüttung Einlauf 1 + 2"
638;23.06.1998 00:00:00;;"trocken";2.40;13.00;;6.25;;;;;;
639;23.06.1998 00:00:00;;"trocken";19.00;9.20;;342.00;;;;;;
640;19.06.1998 00:00:00;;"trocken";6.80;5.80;;333.00;;;;;;
641;19.06.1998 00:00:00;;"trocken";8.70;7.10;;356.00;;;;;;
645;19.06.1998 00:00:00;;"trocken";24.00;5.20;;316.00;;;;;;
714;19.06.1998 00:00:00;;"trocken";6.00;6.90;;347.00;;;;;;
715;19.06.1998 00:00:00;;"trocken";30.00;4.80;;319.00;;;;;;
716;19.06.1998 00:00:00;;"trocken";11.70;4.90;;297.00;;;;;;"Gesamt-Schüttung Quellen Ober Niederen"
717;19.06.1998 00:00:00;;"trocken";11.70;4.80;;277.00;;;;;;"Gesamt-Schüttung Quellen Ober Niederen"
718;19.06.1998 00:00:00;;"trocken";11.70;5.60;;256.00;;;;;;"Gesamt-Schüttung Quellen Ober Niedern"
719;23.06.1998 00:00:00;;"trocken";106.00;8.30;;349.00;;;;;;"Schüttung Quellen oben und mitte"
720;19.06.1998 00:00:00;;"trocken";;9.40;;360.00;;;;;;"Schüttung nicht messbar: tropft nur"
721;19.06.1998 00:00:00;;"trocken";3.00;15.50;;465.00;;;;;;
770;28.08.1998 00:00:00;;"trocken";5.30;10.30;;462.00;;;;;;
768;20.08.1998 00:00:00;;"trocken";6.80;10.50;;401.00;;;;;;
767;20.08.1998 00:00:00;;"trocken";10.00;9.10;;412.00;;;;;;
766;20.08.1998 00:00:00;;"trocken";8.00;9.70;;404.00;;;;;;
765;20.08.1998 00:00:00;;"trocken";;10.20;;421.00;;;;;;
763;20.08.1998 00:00:00;;"trocken";1.00;;;;;;;;;
762;20.08.1998 00:00:00;;"trocken";1.00;8.00;;529.00;;;;;;
761;20.08.1998 00:00:00;;"trocken";1.50;10.00;;416.00;;;;;;
760;28.08.1998 00:00:00;;"trocken";12.80;9.40;;233.00;;;;;;
759;20.08.1998 00:00:00;;"trocken";1.00;14.10;;431.00;;;;;;
758;20.08.1998 00:00:00;;"trocken";1.00;12.60;;467.00;;;;;;
757;20.08.1998 00:00:00;;"trocken";1.00;15.40;;424.00;;;;;;
685;20.08.1998 00:00:00;;"trocken";4.00;7.80;;352.00;;;;;;
756;20.08.1998 00:00:00;;"trocken";3.00;9.80;;491.00;;;;;;
755;20.08.1998 00:00:00;;"trocken";2.40;5.00;;192.00;;;;;;
224;14.07.1998 00:00:00;;;5.20;12.70;;272.00;;;;;;
226;17.07.1998 00:00:00;;;190.00;7.50;;262.00;;;;;;
561;14.07.1998 00:00:00;;;479.20;7.90;;253.00;;;;;;"3 Einläufe (Mischprobe)"
564;14.07.1998 00:00:00;;;;8.10;;255.00;;;;;;
566;14.07.1998 00:00:00;;;14.80;8.50;;258.00;;;;;;
754;20.08.1998 00:00:00;;"trocken";26.50;5.40;;214.00;;;;;;
753;01.07.1998 00:00:00;;"trocken";12.30;6.10;;285.00;;;;;;
752;01.07.1998 00:00:00;;"trocken";47.40;6.20;;182.00;;;;;;
751;01.07.1998 00:00:00;;"trocken";150.00;4.80;;201.00;;;;;;
750;01.07.1998 00:00:00;;"trocken";5.00;5.10;;260.00;;;;;;
684;20.08.1998 00:00:00;;"trocken";0.50;13.80;;422.00;;;;;;
683;20.08.1998 00:00:00;;"trocken";3.80;8.70;;256.00;;;;;;
681;01.07.1998 00:00:00;;"trocken";33.00;6.90;;410.00;;;;;;
680;01.07.1998 00:00:00;;"trocken";10.90;6.10;;466.00;;;;;;
679;20.08.1998 00:00:00;;"trocken";10.00;15.00;;353.00;;;;;;
678;28.08.1998 00:00:00;;"trocken";7.00;9.50;;227.00;;;;;;
677;20.08.1998 00:00:00;;"trocken";1.20;16.20;;317.00;;;;;;
