"id","beschreibung_de","beschreibung_la","lebensraumnummer","bio_typ", "bio_typ_beschreibung"
209","Gebüsche",,"5.3","BIO_TYP4", "Saumgesellschaften, Gebüsche und Heiden"
210","Naturferne Pflanzung",,"5.3.0","BIO_TYP7", "Anderer Biotoptyp"
211","Zwergstrauchheiden",,"5.4","BIO_TYP4", "Saumgesellschaften, Gebüsche und Heiden"
212","Forstpflanzungen",,"6.0","BIO_TYP7", "Anderer Biotoptyp"
213","Aufforstung mit Laubgehölzen",,"6.0.1","BIO_TYP7", "Anderer Biotoptyp"
214","Aufforstung mit Nadelgehölzen",,"6.0.2","BIO_TYP7", "Anderer Biotoptyp"
215","Einzelbaum",,"6.0.3","BIO_TYP7", "Anderer Biotoptyp"
216","Bruch- und Auenwälder",,"6.1","BIO_TYP7", "Anderer Biotoptyp"
217","Buchenwälder",,"6.2","BIO_TYP7", "Anderer Biotoptyp"
218","Andere Laubwälder",,"6.3","BIO_TYP7", "Anderer Biotoptyp"
219","Wärmeliebende Föhrenwälder",,"6.4","BIO_TYP3", "Schluchtwälder, Wälder an Steilhängen und Trockenwälder"
220","Hochmoorwälder",,"6.5","BIO_TYP7", "Anderer Biotoptyp"
221","Gebirgsnadelwälder",,"6.6","BIO_TYP7", "Anderer Biotoptyp"
222","Bergföhrenwald",,"6.6.5","BIO_TYP7", "Anderer Biotoptyp"
223","Trittrasen und Ruderalfluren",,"7.1","BIO_TYP6", "Ackerbegleitvegetation, Ruderalfluren"
224","Tritt- und Trümmerflächen ohne Vegetation",,"7.1.0","BIO_TYP6", "Ackerbegleitvegetation, Ruderalfluren"
225","Anthropogene Steinfluren",,"7.2","BIO_TYP6", "Ackerbegleitvegetation, Ruderalfluren"
226","Mauer oder Steinpflästerung ohne Vegetation",,"7.2.0","BIO_TYP6", "Ackerbegleitvegetation, Ruderalfluren"
227","Baumschulen, Obstgärten, Rebberge",,"8.1","BIO_TYP7", "Anderer Biotoptyp"
228","Feldkulturen (Äcker)",,"8.2","BIO_TYP6", "Ackerbegleitvegetation, Ruderalfluren"
