Schluessel;Objektname;Lokalbezeichnung;Gemeinde;Postleitzahl;x-Koordinate;y-Koordinate;Parz_Nr;Fassungseigentuemer;OK_Terrain;Schachtueberstand;Ordnungs-Nr;Lagegenauigkeit;Verwendungszweck;Verwendungsart;Fassungsart;Fassungszustand;Fassungsabdeckung;Schachttyp;Datenherkunft;Kontaktperson;Bemerkungen Objektdaten;Foto;Fassung;Schutzzone;Anzahl_Zuleitungen;Schloss;Aufgenommen_durch;Erhebungsdatum;Alte_Ordnungs-Nr;Feldbegehung;Foto-Negativ-Nr_1;Foto-Negativ-Nr_2;Foto-Negativ-Nr_3;Objektbereinigung;WVA-Nutzung;WVA-Nutzung_ergaenzen;WVA-Nutzung_streichen;WVA-Nutzung_Lage_neu
91;Quelle Stuggacher;Stuggacher;Obstalden;8758;730050;220067;239;unbekannt;585;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
79;Quelle Totzweg;Totzweg;Obstalden;8758;730318;219815;213;unbekannt;647;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
81;Quelle Tschingel;Tschingel;Obstalden;8758;730117;219951;217;unbekannt;602;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
102;Quelle Tübereggli;Tübereggli;Obstalden;8758;730153;219263;83;unbekannt;785;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
106;Quelle Tüberen;Tüberen;Obstalden;8758;730240;219606;101;unbekannt;691;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
106.1;Quelle Tüberen;Tüberen;Obstalden;8758;730239;219588;101;unbekannt;697;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
106.2;Quelle Tüberen;Tüberen;Obstalden;8758;730236;219623;101;unbekannt;685;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Tüberli;Tüberli;Obstalden;8758;730136;219822;216;unbekannt;651;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Plan GeoShop Glarus;;;;;;;;F. Brunold;;;;;;;;;;;
80;Quelle Tüberli;Tüberli;Obstalden;8758;730229;219859;216;unbekannt;626;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
104-M;Quelle Tüberli;Tüberli;Obstalden;8758;730202;219481;88;unbekannt;732;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
105;Quelle Tüberli;Tüberli;Obstalden;8758;730215;219428;91;unbekannt;743;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
85;Quelle Voglingen;Voglingen;Obstalden;8758;730504;220077;195;unbekannt;559;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
86;Quelle Voglingen;Voglingen;Obstalden;8758;730453;220075;195;unbekannt;556;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
203-M;Quelle Vorder Grueben;Vorder Grueben;Obstalden;8758;730920;219567;118;unbekannt;675;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster SiSto Kerenzerberg;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Berggut;Bergguet;Rüti GL;8782;719302;199246;294;unbekannt;699;unbekannt;;aus Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Lehmann;Sattel;Schwanden GL;8762;725030;206010;1193;Martin Lehmann-Hofstetter, Schwanden;565;überdeckt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen auf Parzelle Nr. 1688;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mülibächli 1;Mülibächli;Schwanden GL;8762;724206;205585;1177;unbekannt;569;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunne bei Stall;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;Jakob Jenny, Haslen;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Mülibächli 2;Mülibächli;Schwanden GL;8762;724219;205607;1177;unbekannt;567;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen bei Stall;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;Jakob Jenny, Haslen;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Schmid;Büeli;Schwanden GL;8762;724520;205965;338;Hans Schmid, Plattenaustr. 13, Schwanden;538;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;Tränkewasser;laufender Brunnen auf Parzelle Nr. 294;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Staub;Herren;Schwanden GL;8762;725015;206105;1800;Hr. Staub, Herrenstrasse 43, Schwanden;533;überdeckt;;Koordinaten Quellenkataster Axpo Kabelanlagen;keine Nutzung;keine Nutzung;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;;;;;;;;F. Brunold;;;;;;;;;;;
;Quelle Stümlingen;Stümmlingen;Schwanden GL;8762;724294;205718;342;WV Glarus Süd;556;unbekannt;;Koordinaten Quellenkataster Axpo Kabelanlagen;3 Ententeiche;3 Ententeiche;unbekannt;unbekannt;unbekannt;unbekannt;Nachführung QK AUE, Quellenkataster Kabelrohrblock Linthal-Schwanden Los 5;Köbi Knobel;;;;;;;F. Brunold;;;;;;;;;;;
;Quellfassung mit Reservoir Trogen;;Schwändi;8762;723400;208025;;unbekannt;789;unbekannt;;aus Mail und Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Mail Thomas Gubler, Magma;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
;Quellfassung Trogenberg;Vorder Trogen;Schwändi;8762;723525;207938;;unbekannt;768;unbekannt;;aus Mail und Plan gelesen;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;unbekannt;Mail Thomas Gubler, Magma;;;;;;;;F. Brunold;15-Jul-19;;;;;;;;;;
